code,species,Imipenem,Gentamicin,Oxacillin,Fusidic acid,Tetracycline,Rifampicin,Amoxicillin-Clavulanic acid,Cefazolin,Meropenem,Ciprofloxacin,Levofloxacin,Teicoplanin,Norfloxacin,Cotrimoxazole,Tobramycin,Ampicillin-Amoxicillin,Ceftriaxone,Ceftazidime,Clindamycin,Penicillin,Cefuroxime,Cefpodoxime,Fosfomycin-Trometamol,Colistin,Erythromycin,Cefepime,Piperacillin-Tazobactam
5f8fb2b7-6e88-4fb1-8dfb-8062b98fd376_MALDI1,Streptococcus anginosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
0608276b-51d3-41af-8640-dd73a4f05452_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
f87c5214-142b-471f-aa52-6cddb95f5e07_MALDI1,Enterococcus faecalis,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-
6ac266e5-211e-477c-bff4-440a7d077add_MALDI1,Enterococcus faecalis,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-
e6c0298b-8243-4dfe-957b-f4c7717b3caf_MALDI1,Staphylococcus epidermidis,S,S,S,S,S,S,S,S,S,R,-,-,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
80764e2b-0c3c-4c69-8cdc-c2e9c81dcb86_MALDI1,Pseudomonas aeruginosa,R,-,-,-,-,-,-,-,"R(1), I(1)",S,S,-,-,-,S,-,-,"R(1), S(1)",-,-,-,-,-,S,-,S,"R(1), S(1)"
3c8b3936-f0f8-4ac5-9c16-941e3a95bb4f_MALDI1,Klebsiella pneumoniae,S,-,-,-,-,-,R,-,S,S,S,-,S,R,S,R,S,S,-,-,-,S,S,S,-,S,S
b4f0f791-3025-46d5-b258-2ee2aeaf7414_MALDI1,Enterococcus faecalis,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-
b812295d-63c9-462e-a508-18d8f520d911_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
157db6a6-89ca-45c3-9192-08174fd82766_MALDI1,Enterococcus faecalis,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-
6327458a-8433-4522-a840-6a9dada2190b_MALDI1,Staphylococcus epidermidis,S,S,S,S,S,S,S,S,S,R,-,-,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
2889a73c-d488-4f73-831e-c24570add089_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
e418ebf6-ef72-4054-9bbf-38496d9e17c8_MALDI1,Corynebacterium amycolatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
7de9fd60-86f0-4be7-90e6-34056d269eca_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c2900a6-68c6-4611-95c2-8bcfe2d7c76e_MALDI1,Pseudomonas aeruginosa,R,-,-,-,-,-,-,-,"R(1), I(1)",S,S,-,-,-,S,-,-,"R(1), S(1)",-,-,-,-,-,S,-,S,"R(1), S(1)"
451fb500-efb1-409a-976e-2766a33b66c8_MALDI1,Propionibacterium avidum,,,,,,,,,,,,,,,,,,,,,,,,,,,
10d7c11c-fc6e-40da-99ad-6c9306df83c1_MALDI1,Pseudomonas aeruginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ff09c29-e15f-4b37-9e8b-3c6cb47e727b_MALDI1,Staphylococcus epidermidis,S,S,S,S,S,S,S,S,S,R,-,-,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
ff681c63-fb3f-4341-8fff-fec4a9f04720_MALDI1,Actinotignum schaalii,,,,,,,,,,,,,,,,,,,,,,,,,,,
1dc9406b-3b59-4fbf-adf7-21a94d6d1276_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
a037762a-a6ae-4785-a0b6-a03559b13990_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
3556689b-464d-494c-807e-21d9fc9640f4_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d4f6330-495d-410c-9eac-6b49e4670a1f_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,S,S,-,S,S,S,-,-,-,S,S,S
b4b75fc7-7afe-42c1-8783-d3ae3135981e_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0f5772d-7d30-47b2-a6b1-ef97d01babd1_MALDI1,Corynebacterium lipophile_group_F1,,,,,,,,,,,,,,,,,,,,,,,,,,,
cff542a4-fc92-4579-8047-e7c07540aa64_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
131951d8-3626-44f1-82f5-f0932378ce75_MALDI1,Staphylococcus epidermidis,S,S,S,R,S,S,S,S,S,S,-,-,-,S,-,R,S,-,R,R,S,-,-,-,R,S,S
6dad3199-356f-41ba-968d-3786d1ac3e8c_MALDI1,Enterobacter cloacae,S,-,-,-,-,-,R,-,S,S,S,-,S,S,S,R,S,S,-,-,-,R,R,S,-,S,S
66ff3670-270b-437a-83e1-d20a7f54b1ce_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a32b9a3-1fd7-48f1-a888-819fe98c4662_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a196ca8-1e86-45e7-9217-98bbfabae8aa_MALDI1,Lactobacillus jensenii,,,,,,,,,,,,,,,,,,,,,,,,,,,
089478bb-cdd0-412c-92bc-d73d0a621b11_MALDI1,Streptococcus constellatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
288a114a-c866-477a-ba41-9280708710cd_MALDI1,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,
ade89f9e-85d1-4e57-8c74-0f1e32b936bf_MALDI1,Proteus mirabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0dbe191-3972-4416-bf18-6c85ba3b625d_MALDI1,Campylobacter jejuni,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-
334fec4c-16dc-4fbf-8407-a2f09e4b0be6_MALDI1,Proteus mirabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,
b86300eb-5ecf-4fcc-ad1c-ee18e20de262_MALDI1,Enterobacter asburiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee628970-f003-4454-bf27-82e34c931193_MALDI1,Lactobacillus rhamnosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
de3a5545-a14f-487c-82d0-570973047c80_MALDI1,Morganella morganii,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d908d58-bd45-4151-b02f-d558a5345928_MALDI1,Campylobacter jejuni,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-
f0f0c29c-f10b-4e11-8ff0-7bb97b57b6c0_MALDI1,Proteus mirabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,
e51ad265-6488-442d-a688-cf52a1f75958_MALDI1,MIX!Enterobacter kobei,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cd4ae03-7737-4167-8e1b-8698c45ee850_MALDI1,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,
cad424c1-afde-4a5c-bf79-fa54456a2818_MALDI1,Eikenella corrodens,,,,,,,,,,,,,,,,,,,,,,,,,,,
12a92c59-7055-4405-8115-f7b0b8356e15_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
e12b5e9a-3004-43c8-a819-583504f809ac_MALDI1,Streptococcus pyogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff0eaf15-92f8-43de-83b1-a8c0214a3284_MALDI1,Staphylococcus lugdunensis,,,,,,,,,,,,,,,,,,,,,,,,,,,
009c40ca-602e-4823-b843-413d4c42a9c0_MALDI1,Streptococcus constellatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
4af3c53c-05dc-4b51-b0c9-362dd5dd69ba_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,S
bf08e989-4368-4d88-a58b-8c03466e43ea_MALDI1,Eikenella corrodens,,,,,,,,,,,,,,,,,,,,,,,,,,,
566059a1-d3ef-4433-9925-e117ccf10d66_MALDI1,Eikenella corrodens,,,,,,,,,,,,,,,,,,,,,,,,,,,
a528ea82-7420-454e-a2e5-c430e83e79e2_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,R,-,S,S,-,S,S,S,-,-,-,S,S,S
95262a9a-4a25-4b9d-8764-a1d7ca31b45a_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
780e0623-cfcb-4fce-9bb1-f8e520035786_MALDI1,Gemella haemolysans,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d2af8b6-8643-452c-b6c1-6012ff0679ce_MALDI1,Corynebacterium aurimucosum,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a16a83d-09be-45ee-b1b2-900d8080ea15_MALDI1,Trichophyton rubrum,,,,,,,,,,,,,,,,,,,,,,,,,,,
93a47e94-f471-46fd-b22a-48099f0a730b_MALDI1,Trichophyton tonsurans,,,,,,,,,,,,,,,,,,,,,,,,,,,
acac2bdc-e251-4469-aa54-8288755dd150_MALDI1,Trichophyton tonsurans,,,,,,,,,,,,,,,,,,,,,,,,,,,
fec7b33e-ca66-46c8-82f6-65e008b40ee8_MALDI1,Trichophyton rubrum,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4b1530e-5912-46e3-89c9-852bbfc70214_MALDI1,Trichophyton rubrum,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2708bff-46c9-41e8-ab33-01173c6f6940_MALDI1,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb53960d-2442-4c23-bef5-515358c10322_MALDI1,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bc9bb47-eb28-4a3e-80ff-8e3042c6e866_MALDI1,Dermabacter hominis,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d6e1336-8b0a-47e0-a52b-af0dc2894732_MALDI1,Dermabacter hominis,-,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,S,-,-,S,-,-,-,-,R,-,-
25c0d947-7979-4c51-be53-e74e7e84822e_MALDI1,Dermabacter hominis,,,,,,,,,,,,,,,,,,,,,,,,,,,
38ae2613-1cdf-4372-8ed1-8fd1f51174c5_MALDI1,Paenibacillus woosongensis,,,,,,,,,,,,,,,,,,,,,,,,,,,
1effcfea-8429-41de-aced-2ddb549b02d5_MALDI1,Stenotrophomonas maltophilia,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-
79fdff34-2264-4113-bf5d-632015fb70fc_MALDI1,Candida dubliniensis,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ab0c92c-5061-4465-bde7-425108740e71_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
41d417ed-c4a9-425c-8aee-402159f108b5_MALDI1,Enterobacter cloacae,S,-,-,-,-,-,R,-,S,S,S,-,-,S,S,R,R,R,-,-,-,-,-,S,-,S,R
9ecdf6e2-f2ad-4608-83c7-6fc1ae7de143_MALDI1,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d46e6c5-a2cb-467d-a319-f6f956e6e2be_MALDI1,Streptococcus mitis,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a6b2325-384d-4c8e-be0f-bf7cfee91b28_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
89d9864f-7e28-470b-9bd3-1a2156393453_MALDI1,Finegoldia magna,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4bc610d-b9a4-4d51-8da3-efcd54109e94_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
bebc91c9-1684-49d8-ab60-ac1afa66b98e_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
0047b87a-f01e-49a2-811c-feda1dcb7685_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
1afcf148-f297-4149-b258-013edbd6ede5_MALDI1,Bacteroides fragilis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad469881-8df7-4216-a353-1f1c9c08c73f_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
924cd363-ba9e-487b-b8cf-5ebe75096436_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
dba1e78a-7d21-46c0-b6dd-9adbd06e52f5_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
427b701c-dd59-4f55-a9d7-36879c27c5aa_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
471898f9-02c6-4f5f-8557-a61fa961ee0e_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
55491944-10cf-4b42-9e92-615df6cda515_MALDI1,Staphylococcus capitis,,,,,,,,,,,,,,,,,,,,,,,,,,,
9177acdb-81c9-4291-9466-bdc1fac81485_MALDI1,Staphylococcus capitis,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d8bddff-4f24-498b-88c8-907cc5d3b024_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0ddebec-0939-47f4-b14b-2dda35f7cb38_MALDI1,Streptococcus oralis,,,,,,,,,,,,,,,,,,,,,,,,,,,
15982ec2-2598-452a-bf57-b1b464424af2_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
d72a2435-c102-4a59-b55e-88830dde2af7_MALDI1,Propionibacterium granulosum,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e213eaf-486d-4ea4-9951-2158fef98471_MALDI1,Clostridium difficile,,,,,,,,,,,,,,,,,,,,,,,,,,,
91f0a7e5-9e75-448c-90ed-a09fce4ce30b_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
de34575a-8efa-4aa8-9c12-c4882bb17375_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3522c6b-74f8-4887-b0fd-f37f3dca66f4_MALDI1,Clostridium difficile,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251a276-4629-485d-9893-382062e1fbad_MALDI1,Clostridium difficile,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad9d56a5-4991-4d3d-bacf-cb9f9f2a7261_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b314180-bcdc-4cd5-a0de-63e5190897ed_MALDI1,Bacteroides fragilis,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b27243d-e890-4f85-8833-cc738a73acae_MALDI1,Propionibacterium avidum,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0926388-728a-4f92-af3d-96f5225cc8c9_MALDI1,Veillonella parvula,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bb97c34-7dc7-4f54-b082-dde328c4362f_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f7201e9-cc44-440f-a67d-0147315db6ed_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e15fb5-2c1b-4b44-a655-20e00a8499de_MALDI1,Staphylococcus capitis,,,,,,,,,,,,,,,,,,,,,,,,,,,
93d1d25d-b0e8-46cf-ae93-c85dc764cbb6_MALDI1,Finegoldia magna,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042667f-db65-42f5-9751-e6104f5e1458_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ea23a28-621c-4bcb-8ae4-27b96dd23218_MALDI1,Staphylococcus warneri,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea9b7e91-554e-4cfd-841b-11cf56c598a2_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
48943c59-809b-4a4e-a550-4d05a23c5e0c_MALDI1,Propionibacterium avidum,,,,,,,,,,,,,,,,,,,,,,,,,,,
74a4ce80-167c-4c58-b38a-aca84858a967_MALDI1,Dermabacter hominis,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f13b0b6-d882-473c-b35b-88da8975d9ec_MALDI1,Peptoniphilus harei,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1cb3b29-b9de-4ebe-875e-0e72bda90861_MALDI1,Corynebacterium tuberculostearicum,,,,,,,,,,,,,,,,,,,,,,,,,,,
411828e4-07ab-40b1-a308-ef92cd160bf9_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9942e75-4f11-41b8-8ac8-488a4a2536c9_MALDI1,Mobiluncus curtisii,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1467cea-2f07-4a4e-945a-2c68f7356182_MALDI1,Staphylococcus warneri,,,,,,,,,,,,,,,,,,,,,,,,,,,
faeb4326-5efa-4872-9061-cb402b02f770_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8ece90c-598c-4a6a-a0ac-fcaa1f01cbd8_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbd5fadd-5f63-401b-86ad-7159834ada3d_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ed0bfff-746a-49e7-bf67-4396e38228af_MALDI1,Clostridium difficile,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a25abf6-9091-4cf2-9aa7-6efdd0405c00_MALDI1,Peptoniphilus harei,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f836f8a-ebb2-4e25-bf60-7fc87de8fa0f_MALDI1,Pseudomonas aeruginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
65c16b49-5295-4cf3-ab85-073f1ef3cd31_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,S
6ab0ff17-f649-4182-83db-dc258c11cb09_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
27f5212a-13d8-4dea-80d8-cd24bac39236_MALDI1,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee0a7c73-7d32-44b0-b49e-dd2927e05851_MALDI1,Lactobacillus gasseri,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e1846ac-903d-43aa-9968-04a4f00ace24_MALDI1,Staphylococcus aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecf6b39d-f893-47d4-94c2-094dedaeda24_MALDI1,Lactobacillus iners,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f0d8986-b23f-4383-b0d2-9cfe70989db7_MALDI1,Staphylococcus epidermidis,S,S,S,S,S,S,S,S,S,S,-,-,-,S,-,R,S,-,S,R,S,-,-,-,R,S,S
b26de963-abf9-4939-94a3-72564166d2dd_MALDI1,Streptococcus parasanguinis,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f32a711-eb0c-47e4-92a6-0aad5dd1d358_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7dccd18-717d-40c9-8d27-6d7743c5cd1a_MALDI1,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e856ee1-3c21-4683-8aaf-98c830e63a8a_MALDI1,Proteus mirabilis,I,-,-,-,-,-,S,-,S,S,S,-,S,R,S,S,S,S,-,-,-,S,S,R,-,S,S
afda697b-b75a-469f-84c0-fc4ef6053ac1_MALDI1,Streptococcus mitis,,,,,,,,,,,,,,,,,,,,,,,,,,,
89c73f29-4f61-4ae0-ba75-b02d3f10163e_MALDI1,Lactobacillus crispatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780dadd-ccb3-4a1c-b2d1-16f194172cc1_MALDI1,Klebsiella pneumoniae,S,-,-,-,-,-,S,-,S,S,S,-,S,S,S,R,S,S,-,-,-,S,S,S,-,S,S
f5e9ad58-772e-4267-bf8e-5eae6136f2d0_MALDI1,Klebsiella pneumoniae,S,-,-,-,-,-,S,-,S,S,S,-,S,S,S,R,S,S,-,-,-,S,S,S,-,S,S
64a6ab53-e9d4-4647-9585-bcb676dbf099_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dbf0601-9350-4599-989a-a144d5317a28_MALDI1,Lactobacillus gasseri,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaa2c920-b570-411d-9a0a-fdc92c3a2f8a_MALDI1,Streptococcus pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,
b074ff68-0df5-4c34-b244-a6e00f76cfd2_MALDI1,Staphylococcus haemolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e903918-8aa5-4c3a-bac7-4ab119903741_MALDI1,Klebsiella oxytoca,S,-,-,-,-,-,S,-,S,S,S,-,S,S,S,R,S,S,-,-,-,S,R,S,-,S,S
